Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160309;4615;PG;Burke, Trey;;20.5;$3,500;uta;A;gsw;94;115;22.38;18pt 1as 2st 3to 2trey 4-10fg 8-8ft
20160309;4677;PG;Smart, Marcus;;20.5;$4,800;bos;H;mem;116;96;28.18;10pt 5rb 3as 1st 2to 2trey 4-9fg
20160309;4569;PG;Canaan, Isaiah;;20.2;$3,900;phi;H;hou;104;118;23.80;14pt 1rb 4as 1to 4trey 4-13fg 2-2ft
20160309;3514;SG;Barbosa, Leandro;;18;$3,500;gsw;H;uta;115;94;19.68;13pt 2as 1st 1trey 6-8fg
20160309;3304;SG;Johnson, Joe;1;17.4;$5,200;mia;A;mil;108;114;33.80;11pt 2rb 4as 2to 1trey 5-9fg
20160309;4559;SG;Roberson, Andre;1;16.2;$3,500;okc;H;lac;120;108;25.67;13pt 1rb 1st 1trey 6-7fg
20160309;4729;PG;Ennis, Tyler;;14.5;$3,500;mil;H;mia;114;108;25.93;8pt 5as 1to 1trey 3-7fg 1-2ft
20160309;4297;SG;Lin, Jeremy;;14.4;$4,200;cha;H;nor;122;113;21.98;12pt 2rb 3-10fg 6-6ft
20160309;3651;PG;Livingston, Shaun;;14.2;$3,800;gsw;H;uta;115;94;17.25;4pt 1rb 4as 1st 1bl 1to 2-3fg
20160309;3882;PG;Barea, Jose;;13.2;$3,700;dal;H;det;96;102;13.22;7pt 1rb 2as 1st 1trey 3-5fg
20160309;3858;SG;Foye, Randy;;13.1;$3,500;okc;H;lac;120;108;22.95;3pt 3rb 3as 1bl 1trey 1-4fg
20160309;4397;SG;Shumpert, Iman;;13;$3,900;cle;A;sac;120;111;18.65;4pt 5rb 2as 1trey 1-4fg 1-2ft
20160309;3518;PG;Blake, Steve;;13;$3,500;det;A;dal;102;96;18.73;7pt 4as 1st 2to 1trey 3-4fg
20160309;4076;PG;Bayless, Jerryd;1;12.9;$4,300;mil;H;mia;114;108;39.98;6pt 2rb 3as 1trey 2-7fg 1-2ft
20160309;4540;SG;Jenkins, John;;12.5;$3,500;pho;H;nyk;97;128;14.78;11pt 1as 1trey 5-7fg
20160309;4164;SG;Matthews, Wes;1;12.2;$4,200;dal;H;det;96;102;33.50;10pt 1rb 1st 1to 2trey 4-9fg
20160309;4831;PG;McConnell, T.J.;;9.6;$3,500;phi;H;hou;104;118;12.62;5pt 3rb 2as 2to 2-3fg 1-1ft
20160309;4593;SG;Goodwin, Archie;;9.6;$4,300;pho;H;nyk;97;128;12.73;6pt 3rb 3-6fg 0-2ft
20160309;4807;PG;Neto, Raul;;8.7;$3,500;uta;A;gsw;94;115;21.02;8pt 1rb 1as 2to 1trey 3-9fg 1-2ft
20160309;4555;SG;Johnson, Chris;1;8.6;$3,500;uta;A;gsw;94;115;19.50;5pt 3rb 1st 2to 1trey 2-4fg
20160309;4610;PG;Dellavedova, Matthew;;8.5;$3,500;cle;A;sac;120;111;24.60;7pt 1as 2trey 2-6fg 1-1ft
20160309;4115;SG;Morrow, Anthony;;7.7;$3,500;okc;H;lac;120;108;12.58;5pt 1rb 1as 1trey 1-5fg 2-2ft
20160309;3747;PG;Felton, Raymond;;7.2;$4,300;dal;H;det;96;102;25.00;5pt 1rb 2st 3to 2-8fg 1-1ft
20160309;4316;SG;Stephenson, Lance;;6.9;$4,400;mem;A;bos;96;116;21.38;2pt 2rb 3as 2to 1-8fg
20160309;3637;SG;Harris, Devin;;6.7;$3,500;dal;H;det;96;102;11.02;2pt 1rb 3as 1to 1-4fg
20160309;4546;PG;Prigioni, Pablo;;6.7;$3,500;lac;A;okc;108;120;11.37;0pt 1rb 3as 1st 1to 0-2fg
20160309;4611;SG;Clark, Ian;;5.9;$3,500;gsw;H;uta;115;94; 4.58;2pt 2rb 1as 1-1fg
20160309;4514;SG;Lamb, Jeremy;;5.2;$3,500;cha;H;nor;122;113;15.70;2pt 1rb 2as 1to 1-5fg
20160309;4083;SG;Rush, Brandon;;5.2;$3,500;gsw;H;uta;115;94; 3.80;5pt 1rb 1to 1trey 2-2fg
20160309;4483;PG;Rivers, Austin;;5.2;$3,600;lac;A;okc;108;120;19.05;5pt 1rb 1to 1trey 1-4fg 2-2ft
20160309;4631;PG;Pressey, Phil;;4.7;$3,500;pho;H;nyk;97;128; 6.27;0pt 1rb 1as 1st
20160309;4823;PG;Rozier, Terry;;3.9;$3,500;bos;H;mem;116;96; 1.85;0pt 2rb 1as
20160309;4825;SG;Hunter, R.J.;;3;$3,500;bos;H;mem;116;96; 1.85;3pt 1trey 1-1fg
20160309;4846;SG;Vaughn, Rashad;;1.2;$3,500;mil;H;mia;114;108; 3.53;0pt 1rb 0-1fg
20160309;4262;SG;Anderson, James;;1.2;$3,500;sac;H;cle;111;120; 9.05;0pt 1rb 0-1fg
20160309;4589;SG;McLemore, Ben;;0;$3,500;sac;H;cle;111;120;DNP;0pt
20160309;4564;SG;Curry, Seth;;0;$3,600;sac;H;cle;111;120;DNP;0pt
20160309;4744;SG;Hood, Rodney;;0;$5,400;uta;A;gsw;94;115;DNP;0pt
20160309;4623;PG;Gutierrez, Jorge;;0;$3,500;cha;H;nor;122;113;DNP;0pt
20160309;3979;PG;Conley, Mike;;0;$6,800;mem;A;bos;96;116;DNP;0pt
20160309;4370;PG;Cole, Norris;;0;$5,700;nor;A;cha;113;122;DNP;0pt
20160309;4839;SG;Hilliard, Darrun;;0;$3,500;det;A;dal;102;96;DNP;0pt
20160309;4072;SG;Mayo, O.J.;;0;$3,500;mil;H;mia;114;108;DNP;0pt
20160309;4779;PG;Harrison, Aaron;;0;$3,500;cha;H;nor;122;113;DNP;0pt
20160309;3970;SG;Afflalo, Arron;;0;$5,000;nyk;A;pho;128;97;DNP;0pt
20160309;4077;SG;Gordon, Eric;;0;$5,200;nor;A;cha;113;122;DNP;0pt
20160309;3974;SG;Belinelli, Marco;;0;$3,500;sac;H;cle;111;120;DNP;0pt
20160309;3760;SG;Green, Gerald;;0;$3,500;mia;A;mil;108;114;DNP;0pt
20160309;4832;SG;McRae, Jordan;;0;$3,500;cle;A;sac;120;111;DNP;0pt
20160309;4183;SG;Meeks, Jodie;;0;$3,600;det;A;dal;102;96;DNP;0pt
20160309;4575;PG;Carter-Williams, Michael;;0;$5,700;mil;H;mia;114;108;DNP;0pt
20160309;4658;SG;Daniels, Troy;;0;$3,500;cha;H;nor;122;113;DNP;0pt
20160309;4382;PG;Knight, Brandon;;0;$6,500;pho;H;nyk;97;128;DNP;0pt
20160309;4500;PG;Marshall, Kendall;;0;$3,500;phi;H;hou;104;118;DNP;0pt
20160309;3574;PG;Williams, Maurice;;0;$3,500;cle;A;sac;120;111;NA;0pt
20160309;4784;SG;Dejean-Jones, Bryce;;0;$3,500;nor;A;cha;113;122;NA;0pt
20160309;4760;PG;Dinwiddie, Spencer;;0;$3,500;det;A;dal;102;96;NA;0pt
20160309;4441;SG;Burks, Alec;;0;$4,800;uta;A;gsw;94;115;NA;0pt
20160309;4515;SG;Waiters, Dion;;0;$3,500;okc;H;lac;120;108;NA;0pt
20160309;4685;SG;Wilcox, C.J.;;0;$3,500;lac;A;okc;108;120;NA;0pt
20160309;4727;SG;Adams, Jordan;;0;$3,500;mem;A;bos;96;116;NA;0pt
20160309;4320;PG;Vasquez, Greivis;;0;$3,600;mil;H;mia;114;108;NA;0pt
20160309;4882;PG;Payne, Cameron;;-1;$3,500;okc;H;lac;120;108; 3.57;0pt 1to 0-1fg
20160309;4703;SG;Stauskas, Nik;;-1;$3,500;phi;H;hou;104;118;12.60;0pt 1to 0-3fg
20160309;4482;PF;Davis, Anthony;1;63.1;$10,000;nor;A;cha;113;122;39.32;40pt 13rb 5as 1bl 2to 2trey 14-26fg 10-12ft
20160309;3986;SF;Durant, Kevin;1;50.9;$10,900;okc;H;lac;120;108;35.72;30pt 12rb 7as 1st 6to 5trey 11-20fg 3-4ft
20160309;4621;SF;Antetokounmpo, Giannis;1;43.4;$9,600;mil;H;mia;114;108;37.33;24pt 7rb 6as 2st 2to 9-15fg 6-10ft
20160309;2374;PF;Nowitzki, Dirk;1;42.5;$6,700;dal;H;det;96;102;35.23;25pt 10rb 3as 1st 1to 2trey 10-17fg 3-3ft
20160309;3541;SF;James, LeBron;1;42.2;$10,100;cle;A;sac;120;111;36.55;25pt 11rb 6as 5to 1trey 8-19fg 8-9ft
20160309;3629;SF;Deng, Luol;1;40.2;$6,100;mia;A;mil;108;114;38.20;20pt 11rb 2as 2st 1bl 2to 2trey 9-17fg
20160309;4504;PF;Green, Draymond;1;39.9;$8,200;gsw;H;uta;115;94;34.83;17pt 7rb 5as 2st 3bl 3to 2trey 7-13fg 1-2ft
20160309;4570;SF;Covington, Robert;1;39.4;$5,700;phi;H;hou;104;118;35.17;17pt 7rb 4as 4st 1bl 2to 3trey 4-10fg 6-8ft
20160309;4461;SF;Parsons, Chandler;1;38.8;$6,700;dal;H;det;96;102;36.88;25pt 4rb 6as 3trey 11-20fg
